Symbol,Company Name,Industry,MarketCap_Cr
AADHARHFC,Aadhar Housing Finance Ltd.,Financial Services,22969
AARTIDRUGS,Aarti Drugs Ltd.,Healthcare,3533
AARTIIND,Aarti Industries Ltd.,Chemicals,16885
AARTIPHARM,Aarti Pharmalabs Ltd.,Healthcare,6223
AAVAS,Aavas Financiers Ltd.,Financial Services,11892
ABDL,Allied Blenders and Distillers Ltd.,Fast Moving Consumer Goods,18875
ABFRL,Aditya Birla Fashion and Retail Ltd.,Consumer Services,7095
ABLBL,Aditya Birla Lifestyle Brands Ltd.,Consumer Services,11361
ABREL,Aditya Birla Real Estate Ltd.,Realty,14955
ACE,Action Construction Equipment Ltd.,Capital Goods,11529
ACI,Archean Chemical Industries Ltd.,Chemicals,6422
ADVENZYMES,Advanced Enzyme Tech Ltd.,Healthcare,3568
AEQUS,Aequs Ltd.,Capital Goods,16773
AETHER,Aether Industries Ltd.,Chemicals,18758
AFCONS,Afcons Infrastructure Ltd.,Construction,11087
AFFLE,Affle 3i Ltd.,Information Technology,20501
AGARWALEYE,Dr. Agarwal's Health Care Ltd.,Healthcare,15147
AGL,Allcargo Global Ltd.,Services,1762
AHLUCONT,Ahluwalia Contracts (India) Ltd.,Construction,5496
AKUMS,Akums Drugs and Pharmaceuticals Ltd.,Healthcare,9911
ALIVUS,Alivus Life Sciences Ltd.,Healthcare,13871
ALKYLAMINE,Alkyl Amines Chemicals Ltd.,Chemicals,9480
ALOKINDS,Alok Industries Ltd.,Textiles,6157
ANANTRAJ,Anant Raj Ltd.,Realty,19604
ANUP,The Anup Engineering Ltd.,Capital Goods,4277
ANURAS,Anupam Rasayan India Ltd.,Chemicals,14341
APLLTD,Alembic Pharmaceuticals Ltd.,Healthcare,15947
APOLLO,Apollo Micro Systems Ltd.,Capital Goods,14619
APTUS,Aptus Value Housing Finance India Ltd.,Financial Services,13917
ARE&M,Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,15284
ARVIND,Arvind Ltd.,Textiles,13774
ARVINDFASN,Arvind Fashions Ltd.,Consumer Services,6155
ASAHIINDIA,Asahi India Glass Ltd.,Automobile and Auto Components,22343
ASHAPURMIN,Ashapura Minechem Ltd.,Metals & Mining,5993
ASHOKA,Ashoka Buildcon Ltd.,Construction,3537
ASKAUTOLTD,ASK Automotive Ltd.,Automobile and Auto Components,9177
ASTRAMICRO,Astra Microwave Products Ltd.,Capital Goods,17178
ATLANTAELE,Atlanta Electricals Ltd.,Capital Goods,12709
ATUL,Atul Ltd.,Chemicals,18567
AURIONPRO,Aurionpro Solution Ltd.,Information Technology,4514
AVALON,Avalon Technologies Ltd.,Capital Goods,10898
AVANTIFEED,Avanti Feeds Ltd.,Fast Moving Consumer Goods,12407
AVL,Aditya Vision Ltd.,Consumer Services,8296
AWFIS,Awfis Space Solutions Ltd.,Services,2134
AWL,AWL Agri Business Ltd.,Fast Moving Consumer Goods,23466
AXISCADES,AXISCADES Technologies Ltd.,Capital Goods,6535
AZAD,Azad Engineering Ltd.,Capital Goods,14398
BAJAJELEC,Bajaj Electricals Ltd,Consumer Durables,3704
BALAMINES,Balaji Amines Ltd.,Chemicals,7118
BALRAMCHIN,Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,11849
BALUFORGE,Balu Forge Industries Ltd.,Capital Goods,5057
BANCOINDIA,Banco Products (India) Ltd.,Automobile and Auto Components,9435
BATAINDIA,Bata India Ltd.,Consumer Durables,8598
BAYERCROP,Bayer Cropscience Ltd.,Chemicals,18712
BBOX,Black Box Ltd.,Information Technology,16547
BBTC,Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods,10453
BECTORFOOD,Mrs. Bectors Food Specialities Ltd.,Fast Moving Consumer Goods,5132
BELRISE,Belrise Industries Ltd.,Automobile and Auto Components,20088
BEML,BEML Ltd.,Capital Goods,14794
BIKAJI,Bikaji Foods International Ltd.,Fast Moving Consumer Goods,16146
BIRLACORPN,Birla Corporation Ltd.,Construction Materials,7211
BLACKBUCK,Blackbuck Ltd.,Services,10186
BLS,BLS International Services Ltd.,Consumer Services,9988
BLUEDART,Blue Dart Express Ltd.,Services,11364
BLUEJET,Blue Jet Healthcare Ltd.,Healthcare,9761
BLUESTONE,BlueStone Jewellery and Lifestyle Ltd.,Consumer Durables,8629
BORORENEW,Borosil Renewables Ltd.,Capital Goods,8341
BRIGADE,Brigade Enterprises Ltd.,Realty,16398
BSOFT,Birlasoft Ltd.,Information Technology,7610
CAMPUS,Campus Activewear Ltd.,Consumer Durables,7027
CAMS,Computer Age Management Services Ltd.,Financial Services,18610
CANFINHOME,Can Fin Homes Ltd.,Financial Services,11881
CANHLIFE,Canara HSBC Life Insurance Company Ltd.,Financial Services,13444
CAPILLARY,Capillary Technologies India Ltd.,Information Technology,4058
CAPLIPOINT,Caplin Point Laboratories Ltd.,Healthcare,19219
CARBORUNIV,Carborundum Universal Ltd.,Capital Goods,20583
CARTRADE,Cartrade Tech Ltd.,Consumer Services,13331
CASTROLIND,Castrol India Ltd.,Oil Gas & Consumable Fuels,18132
CCAVENUE,AvenuesAI Ltd.,Financial Services,5650
CCL,CCL Products (I) Ltd.,Fast Moving Consumer Goods,15749
CEATLTD,Ceat Ltd.,Automobile and Auto Components,15566
CELLO,Cello World Ltd.,Consumer Durables,7908
CENTURYPLY,Century Plyboards (India) Ltd.,Consumer Durables,17113
CERA,Cera Sanitaryware Ltd,Consumer Durables,8153
CESC,CESC Ltd.,Power,21710
CGCL,Capri Global Capital Ltd.,Financial Services,22809
CHALET,Chalet Hotels Ltd.,Consumer Services,17517
CHAMBLFERT,Chambal Fertilizers & Chemicals Ltd.,Chemicals,18069
CHENNPETRO,Chennai Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,16528
CHOICEIN,Choice International Ltd.,Financial Services,17134
CIEINDIA,CIE Automotive India Ltd.,Automobile and Auto Components,17113
CLEAN,Clean Science and Technology Ltd.,Chemicals,8161
CMSINFO,CMS Info Systems Ltd.,Services,4223
COHANCE,Cohance Lifesciences Ltd.,Healthcare,16497
CONCORDBIO,Concord Biotech Ltd.,Healthcare,13180
CRAFTSMAN,Craftsman Automation Ltd.,Automobile and Auto Components,24014
CRAMC,Canara Robeco Asset Management Company Ltd.,Financial Services,4858
CREDITACC,CreditAccess Grameen Ltd.,Financial Services,24617
CRIZAC,Crizac Ltd.,Consumer Services,3414
CROMPTON,Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,16922
CSBBANK,CSB Bank Ltd.,Financial Services,5944
CUB,City Union Bank Ltd.,Financial Services,21805
CYIENT,Cyient Ltd.,Information Technology,9224
DATAMATICS,Datamatics Global Services Ltd.,Information Technology,5013
DATAPATTNS,Data Patterns (India) Ltd.,Capital Goods,24019
DBL,Dilip Buildcon Ltd.,Construction,6804
DCBBANK,DCB Bank Ltd.,Financial Services,5797
DCMSHRIRAM,DCM Shriram Ltd.,Diversified,16113
DEEPAKFERT,Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals,19220
DEEPAKNTR,Deepak Nitrite Ltd.,Chemicals,21431
DEVYANI,Devyani International Ltd.,Consumer Services,13899
DIACABS,Diamond Power Infrastructure Ltd.,Capital Goods,12190
DOMS,DOMS Industries Ltd.,Fast Moving Consumer Goods,13642
DYNAMATECH,Dynamatic Technologies Ltd.,Capital Goods,7166
ECLERX,eClerx Services Ltd.,Services,13595
EDELWEISS,Edelweiss Financial Services Ltd.,Financial Services,11095
EIDPARRY,E.I.D. Parry (India) Ltd.,Fast Moving Consumer Goods,12848
EIEL,Enviro Infra Engineers Ltd.,Utilities,3950
EIHOTEL,EIH Ltd.,Consumer Services,20118
ELECON,Elecon Engineering Co. Ltd.,Capital Goods,11176
ELECTCAST,Electrosteel Castings Ltd.,Capital Goods,4617
ELGIEQUIP,Elgi Equipments Ltd.,Capital Goods,18144
ELLEN,Ellenbarrie Industrial Gases Ltd.,Chemicals,3584
EMAMILTD,Emami Ltd.,Fast Moving Consumer Goods,17763
EMBDL,Embassy Developments Ltd.,Realty,8788
EMIL,Electronics Mart India Ltd.,Consumer Services,5004
EMMVEE,Emmvee Photovoltaic Power Ltd.,Capital Goods,22789
ENGINERSIN,Engineers India Ltd.,Construction,13213
ENTERO,Entero Healthcare Solutions Ltd.,Consumer Services,5103
EPL,EPL Ltd.,Capital Goods,7490
EQUITASBNK,Equitas Small Finance Bank Ltd.,Financial Services,8787
ERIS,Eris Lifesciences Ltd.,Healthcare,19623
ETHOSLTD,Ethos Ltd.,Consumer Durables,6560
EUREKAFORB,Eureka Forbes Ltd.,Consumer Durables,8538
FEDFINA,Fedbank Financial Services Ltd.,Financial Services,5585
FIEMIND,Fiem Industries Ltd,Automobile and Auto Components,5740
FINCABLES,Finolex Cables Ltd.,Capital Goods,15736
FINPIPE,Finolex Industries Ltd.,Capital Goods,10204
FIRSTCRY,Brainbees Solutions Ltd.,Consumer Services,10030
FIVESTAR,Five-Star Business Finance Ltd.,Financial Services,15881
FORCEMOT,Force Motors Ltd.,Automobile and Auto Components,23538
FSL,Firstsource Solutions Ltd.,Services,16379
GABRIEL,Gabriel India Ltd.,Automobile and Auto Components,21817
GAEL,Gujarat Ambuja Exports Ltd.,Fast Moving Consumer Goods,7307
GALLANTT,Gallantt Ispat Ltd.,Capital Goods,15721
GESHIP,Great Eastern Shipping Co. Ltd.,Services,19632
GHCL,GHCL Ltd.,Chemicals,3864
GMDCLTD,Gujarat Mineral Development Corporation Ltd.,Metals & Mining,18557
GMMPFAUDLR,GMM Pfaudler Ltd.,Capital Goods,3416
GMRP&UI,GMR Power and Urban Infra Ltd.,Power,7634
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,Chemicals,7313
GODREJAGRO,Godrej Agrovet Ltd.,Fast Moving Consumer Goods,10646
GOKEX,Gokaldas Exports Ltd.,Textiles,5925
GOKULAGRO,Gokul Agro Resources Ltd.,Fast Moving Consumer Goods,6097
GPIL,Godawari Power & Ispat Ltd.,Capital Goods,16044
GPPL,Gujarat Pipavav Port Ltd.,Services,7267
GRANULES,Granules India Ltd.,Healthcare,21299
GRAPHITE,Graphite India Ltd.,Capital Goods,11319
GRAVITA,Gravita India Ltd.,Metals & Mining,12585
GREAVESCOT,Greaves Cotton Ltd.,Capital Goods,5231
GRWRHITECH,Garware Hi-Tech Films Ltd.,Capital Goods,15848
GSFC,Gujarat State Fertilizers & Chemicals Ltd.,Chemicals,6347
HAPPSTMNDS,Happiest Minds Technologies Ltd.,Information Technology,5174
HBLENGINE,HBL Engineering Ltd.,Capital Goods,20985
